id,postal_code,label
1,POSTAL CODE 1,POSTAL CODE 1
2,POSTAL CODE 2,POSTAL CODE 2
3,POSTAL CODE 3,POSTAL CODE 3
4,POSTAL CODE 4,POSTAL CODE 4
5,POSTAL CODE 5,POSTAL CODE 5
6,POSTAL CODE 6,POSTAL CODE 6
7,POSTAL CODE 7,POSTAL CODE 7
8,POSTAL CODE 8,POSTAL CODE 8
9,POSTAL CODE 9,POSTAL CODE 9
10,POSTAL CODE 10,POSTAL CODE 10
11,POSTAL CODE 11,POSTAL CODE 11
12,POSTAL CODE 12,POSTAL CODE 12
13,POSTAL CODE 13,POSTAL CODE 13
14,POSTAL CODE 14,POSTAL CODE 14
15,POSTAL CODE 15,POSTAL CODE 15
16,POSTAL CODE 16,POSTAL CODE 16
17,POSTAL CODE 17,POSTAL CODE 17
18,POSTAL CODE 18,POSTAL CODE 18
20,POSTAL CODE 20,POSTAL CODE 20
22,POSTAL CODE 22,POSTAL CODE 22
24,POSTAL CODE 24,POSTAL CODE 24
